Title,Authors,URL,DOI,Published Date,Algorithmic Approach,Comparison To Prior,Paper,Problem Solved,Rank,Reliability Relevance,Topic Fit,Venue,Year,Summary
A Polynomial Time Routing Algorithm for Meda Biochips Based on Dijkstra's Algorithm,I. Nakamura et al.,https://www.semanticscholar.org/paper/43355e4c263cf78f550bfd0f3c4dbcceb926f1fc,10.1109/VLSID68508.2026.00058,2026,"Weighted-graph formulation solved with Dijkstra's algorithm rather than ILP; the graph encodes shape changes, splitting, paths, and direction-dependent velocity.","Reports more than 99% lower computation time than ILP-based methods and reaches optimal routing on a 100×100 chip, which the prior ILP approach could not solve.",A Polynomial Time Routing Algorithm for Meda Biochips Based on Dijkstra's Algorithm,Finds optimal droplet routing while avoiding the exponential scaling that prevents ILP methods from handling large MEDA chips.,1,Indirect: improves scalability but does not explicitly model electrode faults or degradation.,"Very high: MEDA routing, shape-dependent velocity, scalability",Venue not stated in retrieved record,2026,"Recently, a biochip called MEDA (Micro Electrode Dot Array) has been studied in the field of biochemistry. During conducting experiments using a MEDA biochip, we need to move a droplet to a target position. We can split a droplet to make it smaller, and/or change its shape to go through a narrow path on a MEDA biochip. Because the velocity of a droplet is different depending on its shape and the direction of the movement, it should be complex to find an optimal routing for a droplet (i.e., to determine where to split the droplet, which path should be taken, etc.). Thus, existing methods utilize ILP (Integer Linear Programming) formulation to find an optimal routing; existing methods cannot treat large-scale problems because ILP formulation is inherently an exponential algorithm to the problem size. This paper proposes a completely new approach from the ILP formulation; our method constructs a weighted graph so that we can utilize Dijkstra's algorithm to find an optimal routing in polynomial time with respect to the chip size. Our experimental result confirms that the proposed method reduces computation time by more than 99% compared to existing ILP-based methods, and we can now find an optimal routing for a $100 \times 100$-sized chip, which is totally impossible by existing ILP-based methods."
Distance-Guided Routing of Size-2 Droplets with Splitting and Shape-Dependent Velocity on MEDA Biochips,Yuta Hamachiyo et al.,https://www.semanticscholar.org/paper/b28863c2eaca8adba6267c1a5bc4b02a9da8c81d,10.1109/ICEIC69189.2026.11386123,2026,ILP-based routing augmented with distance-map guidance constraints for both size-1 and size-2 droplets.,Average solving time falls 28.5%; solution discovery rises to 81% versus 48% for the baseline.,Distance-Guided Routing of Size-2 Droplets with Splitting and Shape-Dependent Velocity on MEDA Biochips,Narrows the search space for routing size-2 droplets that can split and change shape while preserving routing quality.,2,Low: no explicit fault or electrode-degradation objective in the retrieved record.,Very high: shape-dependent velocity and splitting,Venue not stated in retrieved record,2026,"Digital microfluidic biochips (DMFBs) have gained wide attention as flexible platforms for biochemical and medical applications, such as point-of-care diagnostics and polymerase chain reaction (PCR) analysis. Among them, micro-electrode-dot-array (MEDA) biochips enable more precise droplet manipulation and real-time sensing, significantly improving experimental efficiency. While several studies have explored routing optimization for MEDA biochips, only a few have considered the velocity characteristics that depend on droplet shape, and integer linear programming (ILP)-based approaches that do so often suffer from long solving times. To address this issue, this paper presents a fast droplet routing method that incorporates shape-dependent velocity characteristics by applying distance-map-based guidance constraints not only to size-1 droplets but also to size- 2 droplets. By effectively directing droplets toward their target cells, the proposed method narrows the search space and accelerates computation without compromising routing performance. Experimental results show that it achieves an average 28.5% reduction in solving time compared to existing methods, and a solution discovery rate of 81%, significantly higher than the 48% achieved by the baseline."
Accelerated Droplet Routing on MEDA Biochips Considering Shape-Dependent Velocity Models Through Guidance and Lower-Bound Constraints,Yuta Hamachiyo et al.,https://www.mdpi.com/2076-3417/16/3/1421/pdf?version=1769775571,10.3390/app16031421,2026,"ILP routing with target-directed guidance constraints, a solver-friendly model, and tight lower-bound constraints.","Solution-finding time decreases 72.3%, solution-finding rate increases from 33.3% to 85.3%, and 72.7% of previously unsolved instances yield optimal solutions.",Accelerated Droplet Routing on MEDA Biochips Considering Shape-Dependent Velocity Models Through Guidance and Lower-Bound Constraints,Accelerates solution discovery for shape-dependent-velocity routing and recovers solutions for instances that time out under the existing method.,3,Indirect: computational reliability rather than physical fault tolerance.,Very high: fast optimization-based MEDA routing,Applied Sciences; venue listed in retrieved record,2026,"Digital microfluidic biochips are widely used for automated biochemical and diagnostic applications such as molecular analysis, immunoassays, and point-of-care testing. Among them, micro-electrode-dot-array (MEDA) biochips enable fine-grained droplet manipulation with shape-dependent velocity, which significantly increases routing flexibility but also computational complexity. This work proposes an efficient droplet routing method for MEDA biochips that reduces computational time while maintaining or improving solution quality. The proposed method introduces a guidance constraint that consistently directs droplets toward the target cell and integrates a solver-friendly model with a tight lower-bound design. Experimental results demonstrate that, for instances solvable by the existing method, the proposed method achieves comparable or better Routing time while reducing Solution-finding time by 72.3%. Moreover, the Solution-finding rate improves from 33.3% to 85.3% over all problem instances. Notably, for instances that cannot be solved within the time limit by the existing method, the proposed method successfully finds optimal solutions in 72.7% of the cases. These results indicate that the proposed method enables faster solution discovery, and extends solvability to previously intractable routing problems."
Target-Guided Droplet Routing on MEDA Biochips Considering Shape-Dependent Velocity Models and Droplet Splitting,Yuta Hamachiyo et al.,https://www.mdpi.com/2079-6374/15/8/500/pdf?version=1754300918,10.3390/bios15080500,2025,Target-distance-guided routing that adds constraints to an existing shape-dependent-velocity formulation.,Reports approximately 67.5% lower solving time than existing methods without compromising solution quality.,Target-Guided Droplet Routing on MEDA Biochips Considering Shape-Dependent Velocity Models and Droplet Splitting,"Reduces the computational burden of routing droplets whose velocity changes with shape and size, including splitting operations.",4,Low: no explicit fault model in the retrieved abstract.,"Very high: MEDA routing, shape-dependent velocity, splitting",Biosensors,2025,"In recent years, digital microfluidic biochips (DMFBs), based on microfluidic technology, have attracted attention as compact and flexible experimental devices. DMFBs are widely applied in biochemistry and medical fields, including point-of-care clinical diagnostics and PCR testing. Among them, micro electrode dot array (MEDA) biochips, composed of numerous microelectrodes, have overcome the limitations of conventional chips by enabling finer droplet manipulation and real-time sensing, thus significantly improving experimental efficiency. While various studies have been conducted to enhance the utilization of MEDA biochips, few have considered the shape-dependent velocity characteristics of droplets in routing. Moreover, methods that do take such characteristics into account often face significant challenges in solving time. This study proposes a fast droplet routing method for MEDA biochips that incorporates shape-dependent velocity characteristics by utilizing the distance information to the target cell. The experimental results demonstrate that the proposed method achieves approximately a 67.5% reduction in solving time compared to existing methods, without compromising solution quality."
Fast Droplet Routing on MEDA Biochips Considering Shape-Dependent Velocity Models and Droplet Separation,Yuta Hamachiyo et al.,https://www.semanticscholar.org/paper/2b9f44246d9e921b8f0e79c4a4d59d02e83b3a17,10.1109/ITC-CSCC66376.2025.11137706,2025,ILP routing for size-2 droplets with target-directed constraints that guide droplets toward the destination.,Average solving time is reduced by approximately 75% without degrading solution quality.,Fast Droplet Routing on MEDA Biochips Considering Shape-Dependent Velocity Models and Droplet Separation,Speeds routing of size-2 droplets while preserving the shape-dependent velocity model and separation behavior.,5,Low: no explicit electrode-fault or degradation objective in the retrieved record.,Very high: MEDA routing and shape/size-dependent velocity,Venue not stated in retrieved record,2025,"In recent years, a compact experimental device known as the Micro Electrode Dot Array (MEDA) biochips have garnered attention in the fields of biochemistry and medicine. Experiments on MEDA biochips are conducted by repeatedly routing microdroplets to their target cells. While numerous studies have addressed droplet routing, few have considered methods that account for velocity models dependent on the shape and size of the droplet. Furthermore, existing methods, which are based on integer programming problems, face the challenge of long solving times. This study aims to accelerate the routing process for droplets of size 2 units. Although the proposed method is also based on integer programming, it introduces constraints that guide droplets closer to the target cell, thereby reducing solving time. Experimental results show that, compared to existing methods, the proposed approach reduced solving time by an average of approximately 75% without degrading the quality of the solution."
Simultaneous Routing with Washing Droplets Based on Shape-Dependent Velocity Model in MEDA Biochips,Chiharu Shiro et al.,https://www.mdpi.com/2079-6374/15/8/533/pdf?version=1755503647,10.3390/bios15080533,2025,"Simultaneous routing of functional and washing droplets using a shape-dependent velocity model, rather than treating contaminated cells as permanently unavailable.",Simulation reports about 10% lower routing time than an existing method.,Simultaneous Routing with Washing Droplets Based on Shape-Dependent Velocity Model in MEDA Biochips,Maintains routability when residual droplet contamination blocks cells and contaminating-cell count increases.,6,Direct for contamination reliability; not electrode degradation or dielectric breakdown.,High: contamination-aware routing and shape-dependent velocity,Biosensors,2025,"Micro Electrode Dot Array (MEDA) biochips have recently attracted considerable attention in the biochemical and medical industries. MEDA biochips manipulate micro droplets for biochemical experiments such as DNA analysis. Droplets on MEDA biochips are moved using the Electrowetting on Dielectric (EWOD) effect, but a portion of a droplet may remain on a cell after passing through, contaminating the cell. Other droplets cannot pass through a contaminated cell. In previous studies, contaminated cells were considered unavailable for droplet routing. As the number of contaminated cells increases, droplets may be prevented from moving to the desired position. Therefore, we propose a method for simultaneous routing of target functional and washing droplets based on a shape-dependent velocity model. In a simulation, the proposed method reduced the routing time by about 10% compared with an existing method."
Accelerating Integer Programming Based Droplet Routing on MEDA Biochips,Shotaro Karasawa et al.,https://www.semanticscholar.org/paper/1f7e25a6eecd829ab8edd0176e40b202f595dfd5,10.1109/ITC-CSCC66376.2025.11137759,2025,Integer programming with a restricted droplet-passage region and a shape-dependent velocity model.,Reports up to 99% lower solution time than the existing integer-programming method.,Accelerating Integer Programming Based Droplet Routing on MEDA Biochips,Addresses the long solve time of the existing exact routing formulation.,7,Low: no physical fault model reported in the retrieved abstract.,High: exact optimization and shape-dependent velocity,Venue not stated in retrieved record,2025,"Biochips are small devices that can complete large-scale biochemical experiments on a chip. In recent years, they have been attracting attention as devices that can perform point-of-care clinical diagnostics such as PCR tests at low cost. However, testing using biochips takes a long time. In this paper, we propose a droplet routing algorithm for MEDA biochips that consider a shape-dependent velocity model. The existing method is based on integer programming and takes a long time to solve. The proposed method is also based on integer programming, but it shortens the solution time by restricting the area through which the droplets can pass. In experiments, we have succeeded in reducing solution time by up to 99% compared with the existing method."
Reliable Droplet Routing in Digital Microfluidic Biochips by Reinforcement Learning,Qinan Chen et al.,https://www.semanticscholar.org/paper/00f00539c0ae66a3a765f8a15e999b6de4827469,10.1109/ISEDA65950.2025.11101103,2025,"Contamination-aware cooperative multi-agent reinforcement learning with task-specific observations, rewards, and curriculum learning.",Reports 47%–58% fewer cross-contamination events than the state-of-the-art method with similar success rates and completion steps.,Reliable Droplet Routing in Digital Microfluidic Biochips by Reinforcement Learning,Jointly performs real-time routing and minimizes cross-contamination events.,8,Direct for contamination reliability; indirect for MEDA electrode wear and dielectric failure.,Moderate: learning-based reliable routing; DMFB-wide rather than explicitly MEDA-specific,Venue not stated in retrieved record,2025,"In the past decade, digital microfluidic biochips (DMFBs) have emerged as a transformative technology for laboratory automation, yet their clinical adoption remains constrained by reliability challenges stemming from electrode degradation and droplet cross-contamination. In this paper, we propose a contamination-aware cooperative multi-agent reinforcement learning (CaCMARL) framework that addresses the dual challenge of real-time droplet manipulation and cross-contamination minimization. We design a problem-specific observation space and reward function for agents to accomplish the droplet routing task, while minimizing both cross-contamination and completion steps. We accelerate agent training through the introduction of a curriculum learning mechanism. Extensive simulations demonstrate that our proposed method achieves 47%-58% reduction in cross-contamination events compared to the state-of-the-art method while maintaining similar task success rates and completion steps."
Flow-Based Compact Droplet Routing Algorithm for MEDA-Based DMFB,Emuun Purevdagva et al.,https://www.semanticscholar.org/paper/fe57b5bd48bb60de4ac1410677bf34fdad7a5213,10.1109/APCCAS67402.2025.11377471,2025,"Minimum-flow routing in a 3D flow graph; graph layers grow until feasibility, then edge weights discourage reuse of cells.",The retrieved record describes the proposed flow formulation and compactness objective but does not report a numerical baseline improvement.,Flow-Based Compact Droplet Routing Algorithm for MEDA-Based DMFB,Finds minimum-time routing for a single droplet type while using relatively few cells.,9,"Indirect: reducing cell reuse may be relevant to wear, but the retrieved record does not claim a reliability model.","High: MEDA routing optimization, compactness, minimum time steps",Venue not stated in retrieved record,2025,"For efficient manipulation of Micro Electrode Dot Array-based biochip (MEDA biochip), a droplet routing that completes the movement of droplets in the minimum time steps with a small number of cells used is required. In this paper, a Flow-based Compact Droplet Routing (FCDR) for a single type of droplets that efficiently finds a minimum time step routing that uses a small number of cells is proposed. In FCDR, droplet routing is represented by a flow in a 3D flow graph. FCDR finds a feasible routing by gradually increasing the number of layers of the 3D flow graph until a feasible droplet routing is found, and then obtains a droplet routing that uses a smaller number of cells by assigning edge weight to prevent using cells not frequently used in the droplet routing."
Optimization of Droplet Routing in Microfluidic Biochips Using Calibrated Droplet-Shape Morphing,Arun Sankar Eenhakkattu Mana et al.,https://www.semanticscholar.org/paper/97cd777759f0eda9985322c3b8939b50dc5b05cd,10.1109/TCAD.2024.3524475,2025,"Calibrated shape-morphing model validated with level-set, COMSOL, and experiments, followed by a reduced routing optimization formulation.",The retrieved record states lower routing solve burden and faster bioassay completion but does not provide a numerical comparison in the abstract.,Optimization of Droplet Routing in Microfluidic Biochips Using Calibrated Droplet-Shape Morphing,Uses shape morphing to improve routing and reduce the routing problem size and bioassay completion time.,10,Low: reliability constraints are not the stated objective.,Moderate to high: MEDA/AM routing and shape control,Venue not stated in retrieved record,2025,"Advanced digital microfluidic biochips based on technologies such as micro-electrode-dot-array (MEDA) and active matrix (AM) provide enhanced functionality compared to conventional biochips. Owing to the larger ratio of droplet size to electrode size, these platforms allow finer control of droplets and diagonal movement. Additionally, they allow dynamic grouping of micro-electrodes to form subsystems that can perform fluidic operations. Shape morphing is a key feature of MEDA/AM biochips that results in faster fluidic operations, thereby improving the efficiency of bioassays. To establish the benefits of shape morphing, we first numerically simulate the shape morphing operation. We employ a simplified 2-D flow model incorporating interface tracking through a level-set method to numerically simulate shape morphing induced by micro-electrode actuation. We also validate our numerical results with COMSOL simulations and experiments performed on MEDA/AM biochips. The validated shape morphing operations are subsequently used to optimize droplet routing for benchmark bioassays. We propose an algorithm to significantly reduce the size of the routing problem and the time needed to solve it. With the help of this improved approach, we show that droplet morphing operations reduce the time needed to complete bioassays."
